Nom,Tipus_Equipament,Nombre_Llars_Subministrament,Energia_Produeix_ kWh,Nom_Districte,Emissions_ Estalviades_KgCO2,Longitude,Codi_Districte,Autoconsum_Xarxa,Potencia_kWp,Any_Alta,Latitude,Adreca
Escola Ferran Tallada,Coberta,22,50525,Horta-Guinardó,18189,2.163434507013,7,Autoconsum,40.42,2020,41.420771776084,"Carrer de la Gran Vista, 54"
Mercat de la Vall d'Hebron-Teixonera,Coberta,43,99900,Horta-Guinardó,35964,2.142488078456,7,Autoconsum,79.92,2020,41.423854564514,"Passeig de la Vall d’Hebron, 130"
Biblioteca Vilapicina i la Torre Llobeta,Coberta,28,64400,Nou Barris,23184,2.176225819178,8,Autoconsum,51.52,2020,41.426796905278,"Plaça de Carmen Laforet, 11"
EBM El Vent,Coberta,11,24288,Nou Barris,8744,2.166917728157,8,Autoconsum,19.43,2020,41.443480999605,"Carrer de Miguel Hernández, 20"
Seu del Districte de Sant Andreu,Coberta,7,16538,Sant Andreu,5954,2.190663499040,9,Autoconsum,13.23,2020,41.435902940882,"Plaça d'Orfila, 1"
IES Doctor Puigvert,Coberta,26,59850,Sant Andreu,21546,2.193379766072,9,Autoconsum,47.88,2020,41.446041810647,"Passeig de Santa Coloma, 46"
Pavelló Poliesportiu Camp del Ferro,Coberta,28,63825,Sant Andreu,22977,2.193874853874,9,Autoconsum,51.06,2020,41.428387754150,Plaça Albert Badia i Mur
IES Príncep de Viana / CEIP Pegaso,Coberta,50,114125,Sant Andreu,41085,2.186651778861,9,Autoconsum,91.3,2020,41.427998720237,"Carrer de Torroella de Montgrí, 6"
Mitgera Betevé,Parets i mitgeres,1,3240,Sant Martí,1166,2.193850336911,10,Autoconsum,3.24,2020,41.400595443501,"Plaça Tísner, 1"
IES Barri Besòs,Coberta,29,67200,Sant Martí,24192,2.212942506524,10,Autoconsum,53.76,2020,41.411553566760,"Carrer de Josep Pla, 40"
IES Ernest Lluch,Coberta,16,37400,Eixample,13464,2.150336584899,2,Autoconsum,29.92,2021,41.378314858300,"Carrer de la Diputació, 11-15"
